H (A/m);B(T)
-71.52915;-0.323223053
-72.011;-0.323824666
-72.49284;-0.324417429
-72.97469;-0.32500156
-73.45653;-0.32557722
-73.93837;-0.326144605
-74.42022;-0.326703905
-74.90206;-0.327255267
-75.3839;-0.32779887
-75.86575;-0.32833489
-76.34759;-0.328863461
-76.82943;-0.329384751
-77.31128;-0.329898919
-77.79312;-0.33040609
-78.27496;-0.330906417
-78.75681;-0.331400051
-79.23865;-0.331887103
-79.72049;-0.332367717
-80.20234;-0.33284203
-80.68418;-0.333310148
-81.16602;-0.333772201
-81.64787;-0.334228318
-82.12971;-0.334678595
-82.61155;-0.335123154
-83.0934;-0.335562115
-83.57524;-0.335995565
-84.05708;-0.336423618
-84.53893;-0.336846386
-85.02077;-0.337263948
-85.50261;-0.337676412
-85.98446;-0.33808388
-86.4663;-0.338486427
-86.94814;-0.338884151
-87.42999;-0.33927715
-87.91183;-0.339665491
-88.39367;-0.340049267
-88.87552;-0.340428567
-89.35736;-0.340803456
-89.8392;-0.341174019
-90.32105;-0.34154034
-90.80289;-0.341902478
-91.28473;-0.342260513
-91.76658;-0.342614525
-92.24842;-0.342964566
-92.73026;-0.343310712
-93.21211;-0.343653038
-93.69395;-0.343991592
-94.1758;-0.344326453
-94.65764;-0.344657669
-95.13948;-0.344985306
-95.62133;-0.345309432
-96.10317;-0.34563009
-96.58501;-0.345947344
-97.06686;-0.346261255
-97.5487;-0.346571865
-98.03054;-0.346879234
-98.51239;-0.347183419
-98.99423;-0.347484459
-99.47607;-0.347782409
-99.95792;-0.348077325
-100.43976;-0.348369242
-100.9216;-0.348658213
-101.40345;-0.348944289
-101.88529;-0.349227503
-102.36713;-0.349507905
-102.84898;-0.349785543
-103.33082;-0.350060449
-103.81266;-0.350332668
-104.29451;-0.350602248
-104.77635;-0.350869216
-105.25819;-0.351133616
-105.74004;-0.351395492
-106.22188;-0.351654871
-106.70372;-0.351911793
-107.18557;-0.352166302
-107.66741;-0.35241842
-108.14925;-0.352668187
-108.6311;-0.352915643
-109.11294;-0.353160809
-109.59478;-0.353403725
-110.07663;-0.353644426
-110.55847;-0.353882933
-111.04031;-0.354119283
-111.52216;-0.35435351
-112.004;-0.354585633
-112.48584;-0.354815688
-112.96769;-0.355043706
-113.44953;-0.355269707
-113.93137;-0.355493721
-114.41322;-0.355715782
-114.89506;-0.355935905
-115.3769;-0.356154122
-115.85875;-0.356370462
-116.34059;-0.356584941
-116.82244;-0.356797593
-117.30428;-0.357008433
-117.78612;-0.357217488
-118.26797;-0.357424787
-118.74981;-0.357630344
-119.23165;-0.357834185
-119.7135;-0.358036336
-120.19534;-0.358236812
-120.67718;-0.358435636
-121.15903;-0.358632835
-121.64087;-0.358828421
-122.12271;-0.359022417
-122.60456;-0.359214848
-123.0864;-0.359405726
-123.56824;-0.359595073
-124.05009;-0.359782912
-124.53193;-0.359969254
-125.01377;-0.360154121
-124.53383;-0.360138316
-124.05389;-0.360122404
-123.57394;-0.360106382
-123.094;-0.36009025
-122.61405;-0.360074006
-122.13411;-0.360057649
-121.65417;-0.360041177
-121.17422;-0.36002459
-120.69428;-0.360007886
-120.21433;-0.359991064
-119.73439;-0.359974122
-119.25445;-0.35995706
-118.7745;-0.359939875
-118.29456;-0.359922568
-117.81461;-0.359905135
-117.33467;-0.359887576
-116.85473;-0.359869889
-116.37478;-0.359852073
-115.89484;-0.359834127
-115.4149;-0.359807284
-114.93495;-0.359771891
-114.45501;-0.359728312
-113.97506;-0.359676884
-113.49512;-0.359617934
-113.01518;-0.359551767
-112.53523;-0.359478674
-112.05529;-0.359398932
-111.57534;-0.359312798
-111.0954;-0.359220524
-110.61546;-0.35912234
-110.13551;-0.359018465
-109.65557;-0.358909111
-109.17562;-0.358794471
-108.69568;-0.358674735
-108.21574;-0.358550074
-107.73579;-0.358420652
-107.25585;-0.358286628
-106.77591;-0.358148145
-106.29596;-0.358005338
-105.81602;-0.357858341
-105.33607;-0.357707268
-104.85613;-0.357552239
-104.37619;-0.357393357
-103.89624;-0.357230716
-103.4163;-0.357064417
-102.93635;-0.356894538
-102.45641;-0.356721166
-101.97647;-0.356544372
-101.49652;-0.356364222
-101.01658;-0.356180786
-100.53663;-0.355994115
-100.05669;-0.355804272
-99.57675;-0.355611302
-99.0968;-0.355415245
-98.61686;-0.355216153
-98.13692;-0.355014056
-97.65697;-0.354808986
-97.17703;-0.354600979
-96.69708;-0.354390053
-96.21714;-0.354176242
-95.7372;-0.353959559
-95.25725;-0.353740017
-94.77731;-0.353517639
-94.29736;-0.353292428
-93.81742;-0.3530644
-93.33748;-0.352833558
-92.85753;-0.352599899
-92.37759;-0.352363434
-91.89764;-0.352124152
-91.4177;-0.351882059
-90.93776;-0.351637144
-90.45781;-0.351389395
-89.97787;-0.351138811
-89.49793;-0.350885375
-89.01798;-0.350629069
-88.53804;-0.350369886
-88.05809;-0.350107798
-87.57815;-0.349842798
-87.09821;-0.349574857
-86.61826;-0.349303948
-86.13832;-0.349030057
-85.65837;-0.348753146
-85.17843;-0.348473198
-84.69849;-0.348190179
-84.21854;-0.347904051
-83.7386;-0.347614793
-83.25865;-0.347322358
-82.77871;-0.347026723
-82.29877;-0.346727844
-81.81882;-0.346425675
-81.33888;-0.346120189
-80.85894;-0.345811336
-80.37899;-0.345499067
-79.89905;-0.345183349
-79.4191;-0.344864121
-78.93916;-0.344541348
-78.45922;-0.344214975
-77.97927;-0.343884941
-77.49933;-0.343551207
-77.01938;-0.343213704
-76.53944;-0.34287239
-76.0595;-0.3425272
-75.57955;-0.342178064
-75.09961;-0.341824937
-74.61966;-0.34146774
-74.13972;-0.341106422
-73.65978;-0.340740909
-73.17983;-0.340371123
-72.69989;-0.33999701
-72.21995;-0.339618488
-71.74;-0.339235475
-71.26006;-0.338847909
-70.78011;-0.338455695
-70.30017;-0.338058768
-69.82023;-0.337657038
-69.34028;-0.337250409
-68.86034;-0.336838811
-68.38039;-0.336422136
-67.90045;-0.33600031
-67.42051;-0.335573229
-66.94056;-0.335140785
-66.46062;-0.334702898
-65.98067;-0.334259444
-65.50073;-0.333810339
-65.02079;-0.333355465
-64.54084;-0.332894698
-64.0609;-0.332427947
-63.58096;-0.331955083
-63.10101;-0.331475976
-62.62107;-0.330990522
-62.14112;-0.330498573
-61.66118;-0.330000021
-61.18124;-0.329494721
-60.70129;-0.328982524
-60.22135;-0.328463311
-59.7414;-0.327936913
-59.26146;-0.327403205
-58.78152;-0.326862022
-58.30157;-0.326313194
-57.82163;-0.325756584
-57.34168;-0.325191999
-56.86174;-0.324619293
-56.3818;-0.32403828
-55.90185;-0.323448763
-55.42191;-0.322850583
-54.94197;-0.322243536
-54.46202;-0.321627411
-53.98208;-0.321002033
-53.50213;-0.320367166
-53.02219;-0.319722623
-52.54225;-0.319068171
-52.0623;-0.318403566
-51.58236;-0.317728605
-51.10241;-0.317043017
-50.62247;-0.316346586
-50.14253;-0.31563904
-49.66258;-0.314920103
-49.18264;-0.314189534
-48.70269;-0.313447024
-48.22275;-0.312692318
-47.74281;-0.311925105
-47.26286;-0.311145062
-46.78292;-0.310351912
-46.30298;-0.309545313
-45.82303;-0.308724915
-45.34309;-0.307890411
-44.86314;-0.307041409
-44.3832;-0.306177583
-43.90326;-0.305298538
-43.42331;-0.304403867
-42.94337;-0.30349321
-42.46342;-0.302566114
-41.98348;-0.301622195
-41.50354;-0.300660996
-41.02359;-0.299682042
-40.54365;-0.298684911
-40.0637;-0.297669078
-39.58376;-0.296634092
-39.10382;-0.29557942
-38.62387;-0.294504511
-38.14393;-0.293408868
-37.66399;-0.292291908
-37.18404;-0.291153027
-36.7041;-0.28999168
-36.22415;-0.288807201
-35.74421;-0.287599011
-35.26427;-0.286366433
-34.78432;-0.285108766
-34.30438;-0.283825376
-33.82443;-0.282515496
-33.34449;-0.281178453
-32.86455;-0.279813468
-32.3846;-0.278419739
-31.90466;-0.276996537
-31.42471;-0.275542986
-30.94477;-0.274058323
-30.46483;-0.272541666
-29.98488;-0.270992112
-29.50494;-0.269408845
-29.025;-0.267790929
-28.54505;-0.26613741
-28.06511;-0.264447432
-27.58516;-0.262719976
-27.10522;-0.260954166
-26.62528;-0.259149001
-26.14533;-0.257303474
-25.66539;-0.255416693
-25.18544;-0.253487602
-24.7055;-0.251515316
-24.22556;-0.249498823
-23.74561;-0.247437114
-23.26567;-0.24532933
-22.78572;-0.243174432
-22.30578;-0.24110186
-21.82584;-0.238975549
-21.34589;-0.236795366
-20.86595;-0.234560762
-20.38601;-0.232271056
-19.90606;-0.229925562
-19.42612;-0.227523745
-18.94617;-0.225064871
-18.46623;-0.222548408
-17.98629;-0.219973662
-17.50634;-0.217339924
-17.0264;-0.214646638
-16.54645;-0.211892999
-16.06651;-0.209078406
-15.58657;-0.206202048
-15.10662;-0.203263069
-14.62668;-0.200260748
-14.14673;-0.197194057
-13.66679;-0.19406216
-13.18685;-0.19086396
-12.7069;-0.187598277
-12.22696;-0.184264059
-11.74702;-0.180859967
-11.26707;-0.177384572
-10.78713;-0.173836583
-10.30718;-0.170214333
-9.82724;-0.166516382
-9.3473;-0.162740998
-8.86735;-0.15888639
-8.38741;-0.154950967
-7.90746;-0.150932794
-7.42752;-0.146830267
-6.94758;-0.142641562
-6.46763;-0.138364903
-5.98769;-0.133998877
-5.50774;-0.129541843
-5.0278;-0.124992702
-4.54786;-0.120350303
-4.06791;-0.115613762
-3.58797;-0.11078282
-3.10803;-0.105857312
-2.62808;-0.100837509
-2.14814;-0.095724502
-1.66819;-0.09051952
-1.18825;-0.085224834
-0.70831;-0.079843056
-0.22836;-0.074377489
0.25158;-0.068832513
0.73153;-0.06318173
1.21147;-0.057462547
1.69141;-0.051681296
2.17136;-0.04584497
2.6513;-0.039961603
3.13124;-0.034039469
3.61119;-0.028090515
4.09113;-0.0221211
4.57108;-0.016137128
5.05102;-0.01015224
5.53096;-0.004176209
6.01091;0.00178128
6.49085;0.007710361
6.9708;0.013601976
7.45074;0.019446992
7.93068;0.025237157
8.41063;0.030917175
8.89057;0.036531074
9.37052;0.042072746
9.85046;0.047536084
10.3304;0.052916036
10.81035;0.058208248
11.29029;0.063408737
11.77023;0.068514513
12.25018;0.073523209
12.73012;0.078432753
13.21007;0.083242021
13.69001;0.08795
14.16995;0.092556427
14.6499;0.097061436
15.12984;0.101465248
15.60979;0.105768762
16.08973;0.109972793
16.56967;0.114078656
17.04962;0.118087849
17.52956;0.122001793
18.00951;0.125822362
18.48945;0.129551219
18.96939;0.133190344
19.44934;0.136741772
19.92928;0.14020736
20.40922;0.143589212
20.88917;0.146889437
21.36911;0.150109944
21.84906;0.153252901
22.329;0.156320199
22.80894;0.159313896
23.28889;0.16223602
23.76883;0.165088385
24.24878;0.167873004
24.72872;0.170591622
25.20866;0.173246113
25.68861;0.175838302
26.16855;0.178369815
26.6485;0.180842441
27.12844;0.18325772
27.60838;0.185617302
28.08833;0.187922786
28.56827;0.190175587
29.04821;0.192377221
29.52816;0.194529155
30.0081;0.196632684
30.48805;0.198841497
30.96799;0.200990078
31.44793;0.20308067
