H [A/m];M [A/m]
0.639433548502896;-183040.22652573
0.878044035585539;-179641.679874026
1.0559903355505;-176243.133222321
1.21950227808977;-172844.586570616
1.3639004389234;-169446.039918911
1.51996762246543;-166047.493267207
1.69135769464835;-162648.946615502
1.86568163372237;-159250.399963797
2.01921274114088;-155851.853312092
2.10817396753591;-152453.306660387
2.19713519393093;-149054.760008683
2.29449593564626;-145656.213356978
2.43900621693358;-142257.666705273
2.58021376796334;-138859.120053568
2.71119623169281;-135460.573401864
2.84034567893397;-132062.026750159
2.95824612807637;-128663.480098454
3.07614657721876;-125264.933446749
3.19345329870028;-121866.386795045
3.31061402207468;-118467.84014334
3.44329141447136;-115069.293491635
3.59490387274268;-111670.74683993
3.78688225735951;-108272.200188225
3.95533054116958;-104873.653536521
4.03781303462064;-101475.106884816
4.1202955280717;-98076.5602331111
4.20337188773497;-94678.0135814064
4.33486350428719;-91279.4669297016
4.46635512083941;-87880.9202779968
4.56776181554715;-84482.3736262921
4.66641816992281;-81083.8269745873
4.76483965268017;-77685.2803228825
4.8615833524639;-74286.7336711777
4.95832705224763;-70888.187019473
5.05300812917246;-67489.6403677682
5.14222763625387;-64091.0937160634
5.23144714333527;-60692.5470643586
5.3237450231609;-57294.0004126539
5.42958394937764;-53895.4537609491
5.53542287559438;-50496.9071092443
5.61683172343329;-47098.3604575395
5.68064834941242;-43699.8138058348
5.74446497539155;-40301.26715413
5.80828160137068;-36902.7205024252
5.89191123016465;-33504.1738507204
6.03109567625144;-30105.6271990157
6.16440218299565;-26707.0805473109
6.28280519382278;-23308.5338956061
6.4012082046499;-19909.9872439014
6.47306374141048;-16511.4405921966
6.54274032894032;-13112.8939404918
6.61241691647016;-9714.34728878704
6.682093504;-6315.80063708227
6.7988243410645;-2105.266875
6.915555178129;2105.26688708226
6.98671999267201;5539.35137464008
7.03880307598964;8973.4358621979
7.09088615930728;12407.5203497557
7.14296924262491;15841.6048373135
7.19505232594255;19275.6893248713
7.26806604136961;22709.7738124292
7.39879765865623;26143.858299987
7.53262994075861;29577.9427875448
7.68297792432481;33012.0272751026
7.81745382036016;36446.1117626604
7.91897171095759;39880.1962502183
8.02048960155501;43314.2807377761
8.09536812435373;46748.3652253339
8.1532398134179;50182.4497128917
8.21111150248207;53616.5342004495
8.26898319154625;57050.6186880074
8.32685488061042;60484.7031755652
8.41323259013246;63918.787663123
8.50470989464343;67352.8721506808
8.59618719915441;70786.9566382386
8.7004996113551;74221.0411257964
8.8073375249755;77655.1256133543
8.90117570056398;81089.2101009121
8.95724641727276;84523.2945884699
9.01331713398154;87957.3790760277
9.06938785069032;91391.4635635855
9.1254585673991;94825.5480511434
9.18140612853255;98259.6325387012
9.23711569850718;101693.717026259
9.2928252684818;105127.801513817
9.34853483845643;108561.886001375
9.40424440843105;111995.970488932
9.49959903772124;115430.05497649
9.65590587428546;118864.139464048
9.80348979413436;122298.223951606
9.94597176703915;125732.308439164
10.0372184453031;129166.392926722
10.1061652145264;132600.477414279
10.1751119837496;136034.561901837
10.2440587529729;139468.646389395
10.3111598403844;142902.730876953
10.3774683969432;146336.815364511
10.443776953502;149770.899852068
10.5100855100608;153204.984339626
10.6138363746691;156639.068827184
10.7490472143921;160073.153314742
10.9099455971897;163507.2378023
11.0930661431274;166941.322289858
11.1566064080356;170375.406777415
11.2201466729438;173809.491264973
11.2836869378521;177243.575752531
11.3472272027603;180677.660240089
11.5120699146791;184111.744727647
11.6652641220654;187545.829215204
11.7244333490244;190979.913702762
11.7836025759835;194413.99819032
11.8427718029425;197848.082677878
11.9019410299015;201282.167165436
11.9793383560495;204716.251652994
12.0637093673007;208150.336140551
12.1480803785518;211584.420628109
12.2566140405481;215018.505115667
12.3938720389181;218452.589603225
12.5501562307523;221886.674090783
12.7297846199914;225320.75857834
