H [A/m];M [A/m]
43.9767021029746;202803.407281366
46.2526265021604;213348.919355328
48.5285509013461;223894.43142929
50.8092366830506;234439.943503252
53.0986314108357;244985.455577214
55.3880261386207;255530.967651176
57.6774208664058;266076.479725137
59.9668155941909;276621.991799099
62.2778441797933;287167.503873061
64.5891909567939;297713.015947023
66.9005377337945;308258.528020985
69.2118845107951;318804.040094947
71.5252993026745;329349.552168908
73.8397840795069;339895.06424287
76.1542688563393;350440.576316832
78.4687536331717;360986.088390794
80.776076438446;371531.600464756
83.0693974496467;382077.112538718
85.3627184608473;392622.62461268
87.6560394720479;403168.136686641
89.9493604832486;413713.648760603
92.2122372111985;424259.160834565
94.4744265103739;434804.672908527
96.7366158095492;445350.184982489
98.9988051087245;455895.697056451
101.254089879386;466441.209130412
103.503892644234;476986.721204374
105.753695409082;487532.233278336
108.003498173929;498077.745352298
110.254341190482;508623.25742626
112.513383404552;519168.769500222
114.772425618622;529714.281574184
117.031467832692;540259.793648146
119.290510046762;550805.305722107
121.5454846001;561350.817796069
123.798596702911;571896.329870031
126.051708805723;582441.841943993
128.304820908534;592987.354017955
130.56011258405;603532.866091917
132.822026499156;614078.378165878
135.083940414262;624623.89023984
137.345854329368;635169.402313802
139.607768244474;645714.914387764
141.920516270847;656260.426461726
144.243928544403;666805.938535688
146.567340817959;677351.45060965
148.890753091515;687896.962683611
151.234934024263;698442.474757573
153.59808895484;708987.986831535
155.961243885417;719533.498905497
158.324398815993;730079.010979459
160.702335140896;740624.523053421
163.116294426851;751170.035127382
165.530253712805;761715.547201344
167.944212998759;772261.059275306
170.389053989515;782806.571349268
173.01114545446;793352.08342323
175.633236919404;803897.595497192
178.255328384349;814443.107571153
180.970486463168;824988.619645115
183.870699256356;835534.131719077
186.770912049544;846079.643793039
189.671124842733;856625.155867001
192.766651096715;867170.667940963
195.887158023883;877716.180014925
199.007664951052;888261.692088887
202.494580261476;898807.204162848
206.15234637801;909352.71623681
209.810112494543;919898.228310772
214.278065492485;930443.740384734
218.790381163727;940989.252458696
223.816742790036;951534.764532658
229.031374700006;962080.276606619
235.273195929391;972625.788680581
242.278379581986;983171.300754543
250.85831386067;993716.812828505
261.306935452819;1004262.32490247
276.083921355934;1014807.83697643
299.758508503496;1025353.34905039
349.059788196066;1035898.86112435
780;1046444.37319831
