H [A/m];M [A/m]
-6.40215703311206;2283.40927056145
-6.6192;760.193982298661
-6.73113520999514;-0
-6.84307041999028;-760.193982298661
-7.06735731600997;-2283.41039177357
-7.29164421202966;-3806.62680124848
-7.51593110804935;-5329.84321072339
-7.74021800406904;-6853.05962019831
-7.96176567849544;-8376.27602967322
-8.18225793020028;-9899.49243914813
-8.40275018190511;-11422.708848623
-8.62324243360995;-12945.925258098
-8.84373468531478;-14469.1416675729
-9.06749180206775;-15992.3580770478
-9.29179037273126;-17515.5744865227
-9.51608894339477;-19038.7908959976
-9.74038751405828;-20562.0073054725
-9.96468608472179;-22085.2237149474
-10.1889911314478;-23608.4401244223
-10.4132968091592;-25131.6565338972
-10.6376024868707;-26654.8729433722
-10.8619081645822;-28178.0893528471
-11.0862138422937;-29701.305762322
-11.3175838970953;-31224.5221717969
-11.5492113722618;-32747.7385812718
-11.7808388474283;-34270.9549907467
-12.0124663225949;-35794.1714002216
-12.2440937977614;-37317.3878096965
-12.476232319176;-38840.6042191714
-12.7084059906182;-40363.8206286464
-12.9405796620604;-41887.0370381213
-13.1727533335026;-43410.2534475962
-13.4079757733566;-44933.4698570711
-13.6530364346544;-46456.686266546
-13.8980970959523;-47979.9026760209
-14.1431577572502;-49503.1190854958
-14.388218418548;-51026.3354949707
-14.6230427163933;-52549.5519044456
-14.8550570806162;-54072.7683139206
-15.087071444839;-55595.9847233955
-15.3190858090619;-57119.2011328704
-15.5511897146196;-58642.4175423453
-15.8128751278914;-60165.6339518202
-16.0745605411632;-61688.8503612951
-16.336245954435;-63212.06677077
-16.5979313677068;-64735.2831802449
-16.8642543394614;-66258.4995897199
-17.1343547332918;-67781.7159991947
-17.4044551271222;-69304.9324086697
-17.6745555209526;-70828.1488181446
-17.941088234136;-72351.3652276195
-18.204218713158;-73874.5816370944
-18.4673491921799;-75397.7980465693
-18.7304796712018;-76921.0144560442
-18.9916623988387;-78444.2308655191
-19.2461370519084;-79967.447274994
-19.500611704978;-81490.6636844689
-19.7550863580477;-83013.8800939439
-20.0095610111173;-84537.0965034188
-20.3199152076306;-86060.3129128937
-20.6339533426791;-87583.5293223686
-20.9479914777276;-89106.7457318435
-21.2706122626942;-90629.9621413184
-21.622278401994;-92153.1785507933
-21.9739445412938;-93676.3949602682
-22.3137269819756;-95199.6113697431
-22.5987522496717;-96722.8277792181
-22.8837775173678;-98246.044188693
-23.168802785064;-99769.2605981679
-23.4544197783811;-101292.477007643
-23.7421209458733;-102815.693417118
-24.0298221133655;-104338.909826593
-24.3175232808577;-105862.126236068
-24.6413352006973;-107385.342645542
-25.0132101745;-108908.559055017
-25.3850851483026;-110431.775464492
-25.7473292333481;-111954.991873967
-26.0866925646814;-113478.208283442
-26.4260558960148;-115001.424692917
-26.7671060500874;-116524.641102392
-27.127195731834;-118047.857511867
-27.4872854135806;-119571.073921342
-27.8473750953273;-121094.290330817
-28.1994127417427;-122617.506740292
-28.5510186503379;-124140.723149766
-28.9026245589331;-125663.939559241
-29.2869468475564;-127187.155968716
-29.6749520078304;-128710.372378191
-30.0629571681043;-130233.588787666
-30.4520399312302;-131756.805197141
-30.841314946666;-133280.021606616
-31.2300829178885;-134803.238016091
-31.6083249505387;-136326.454425566
-31.9865669831888;-137849.670835041
-32.3715973534878;-139372.887244516
-32.7920639575307;-140896.10365399
-33.2125305615735;-142419.320063465
-33.6478331120821;-143942.53647294
-34.0966547179303;-145465.752882415
-34.5454763237785;-146988.96929189
-34.9258978679947;-148512.185701365
-35.2974489339974;-150035.40211084
-35.669;-151558.618520315
-35.78;-151558.507520315
-34.8984088175323;-150035.292232052
-33.9676705778228;-148512.076943789
-32.9828144212073;-146988.861655527
-32.0981892296053;-145465.646367264
-31.3625013922805;-143942.431079001
-30.7084895316283;-142419.215790738
-29.9427513633306;-140896.000502475
-28.8548671771262;-139372.785214213
-27.874459545395;-137849.56992595
-27.2761315645573;-136326.354637687
-26.6385099841764;-134803.139349424
-25.9030919079042;-133279.924061161
-25.1893643248047;-131756.708772899
-24.4893043933225;-130233.493484636
-23.8161162314123;-128710.278196373
-23.1310418279921;-127187.06290811
-22.4343864057053;-125663.847619847
-21.7900283305516;-124140.632331585
-21.1550941999402;-122617.417043322
-20.5431762721379;-121094.201755059
