H_650C_3lbf_start;B_650C_3lbf_start
-1629.200922;-1.157748018
-1622.050107;-1.157560138
-1618.474984;-1.157493881
-1612.040219;-1.157374109
-1607.034136;-1.157088929
-1601.312574;-1.156901049
-1596.308199;-1.156722898
-1589.871726;-1.156500963
-1584.867351;-1.156303353
-1578.430877;-1.156086282
-1571.996112;-1.155883807
-1565.560208;-1.155603492
-1559.123734;-1.155323177
-1554.119359;-1.155179081
-1547.682886;-1.155025255
-1541.246413;-1.154851969
-1534.812217;-1.154654358
-1528.375743;-1.154437288
-1521.226636;-1.154317517
-1514.790163;-1.154134501
-1509.068601;-1.153893106
-1501.919493;-1.153753875
-1494.768109;-1.153600048
-1487.616726;-1.153412168
-1481.182529;-1.153131853
-1474.746056;-1.152846672
-1466.879761;-1.152736631
-1461.160476;-1.15248064
-1454.009092;-1.152059241
-1446.857708;-1.151837306
-1439.707462;-1.15166402
-1432.557217;-1.151262081
-1423.976011;-1.150855277
-1417.539538;-1.150613882
-1409.67552;-1.150304377
-1402.524136;-1.149824597
-1394.657842;-1.149422658
-1386.076636;-1.149156938
-1377.495431;-1.148784188
-1370.346324;-1.148250895
-1362.480029;-1.14777598
-1354.613734;-1.147378906
-1347.46292;-1.146855343
-1338.883422;-1.146331779
-1331.732038;-1.14578389
-1323.150833;-1.145075458
-1316.000018;-1.144405946
-1306.703333;-1.143765623
-1298.839315;-1.143008541
-1291.687931;-1.142168755
-1283.106726;-1.141338698
-1275.955911;-1.140406478
-1267.374705;-1.139294254
-1258.795208;-1.138196626
-1250.214002;-1.137030888
-1242.347708;-1.135626765
-1235.196324;-1.134212913
-1227.332306;-1.132891495
-1218.03619;-1.131424128
-1208.740074;-1.129771894
-1200.158868;-1.12813912
-1191.577663;-1.126496616
-1183.711368;-1.124678974
-1175.130163;-1.122647273
-1165.835185;-1.120581518
-1156.540208;-1.118593603
-1149.388824;-1.116411089
-1140.807618;-1.114004784
-1132.226413;-1.1115401
-1122.215386;-1.109002443
-1113.635319;-1.106240996
-1102.908243;-1.103343329
-1095.044226;-1.100586747
-1085.74754;-1.097698811
-1075.022172;-1.094475193
-1065.726056;-1.091266169
-1057.859761;-1.088134985
-1049.278556;-1.084799474
-1037.837708;-1.081245039
-1029.256502;-1.077695469
-1019.960386;-1.07412644
-1010.66427;-1.070387136
-1001.368723;-1.066511613
-992.072038;-1.06253879
-983.4931094;-1.05835191
-974.9119041;-1.053912052
-964.1859666;-1.049413814
-954.8898505;-1.044925305
-944.163913;-1.040349227
-934.8677969;-1.035510442
-925.5716809;-1.030515978
-916.9904755;-1.025555569
-907.6943594;-1.020385966
-899.1131541;-1.01492933
-889.1021273;-1.0093608
-879.8077188;-1.003646321
-869.0800737;-0.997664269
-859.0701853;-0.991468159
-849.0580201;-0.985189345
-840.4790916;-0.978540791
-831.1824063;-0.971366821
-821.8868594;-0.964037173
-811.8758326;-0.956566441
-803.2946273;-0.948662731
-793.2836005;-0.94030172
-783.9874844;-0.931692587
-774.6913684;-0.922733166
-765.3952523;-0.913272651
-754.6693148;-0.90340836
-744.658288;-0.893237579
-734.6472612;-0.882740829
-726.0660559;-0.871991107
-717.4848505;-0.861260855
-706.7594822;-0.850447885
-697.4627969;-0.839377084
-687.4529085;-0.828223586
-677.4430201;-0.817128446
-668.8618148;-0.805974938
-658.850788;-0.794597656
-648.8397612;-0.783186316
-639.5436451;-0.77197443
-629.5326184;-0.760674977
-618.8066809;-0.749117691
-610.2254755;-0.737589595
-600.2144487;-0.726144196
-591.6332434;-0.714567432
-580.1923951;-0.702917701
-570.8962791;-0.691185271
-562.3150737;-0.679384715
-550.8742255;-0.667700925
-543.0079309;-0.655949026
-532.2819934;-0.644021974
-521.5560559;-0.632138711
-511.5450291;-0.620333294
-502.9638237;-0.608430581
-493.6686753;-0.596522989
-482.9426809;-0.584644575
-472.2164588;-0.572600767
-462.9206273;-0.560474262
-451.4795514;-0.548328297
-441.4684108;-0.536187201
-430.7424164;-0.524119064
-420.0164219;-0.511929301
-411.4354443;-0.499549824
-399.9943684;-0.487214125
-390.6985369;-0.474888156
-379.9723148;-0.462498949
-369.9614018;-0.450236218
-360.6655704;-0.437958898
-351.3695112;-0.425540501
-339.9284353;-0.413083177
-329.9175224;-0.400557745
-320.621634;-0.388115019
-309.1803873;-0.375613916
-297.7393114;-0.36289389
-288.4434344;-0.350276021
-278.4323963;-0.337765178
-268.4213513;-0.325161909
-259.1255323;-0.312553779
-248.3994184;-0.299984568
-235.528134;-0.287391037
-225.517221;-0.274792647
-211.9306731;-0.262150468
-200.4897679;-0.24948396
-189.7636027;-0.236778534
-179.7524621;-0.224073107
-170.4566876;-0.211401739
-159.7306362;-0.198618485
-148.2893326;-0.18586441
-139.7085826;-0.173134654
-128.9825882;-0.160288152
-118.9714476;-0.14743679
-107.5304286;-0.134634076
-96.80437729;-0.121845952
-84.64821993;-0.108902153
-73.92222551;-0.095963224
-62.48092193;-0.083082663
-51.75492751;-0.070114525
-42.45909604;-0.057165856
-31.01802015;-0.044158819
-21.72190408;-0.031146912
-11.71087729;-0.018266351
-2.41476122;-0.005317673
8.31117628;0.007723433
18.32220307;0.02070615
29.04814057;0.0336159
40.48898878;0.046569429
50.50001557;0.059532687
61.22595307;0.072554324
71.95189057;0.08557596
81.96291735;0.098471121
91.97394414;0.111468447
100.5551495;0.124519282
111.281087;0.137570118
123.4368459;0.150567444
132.732962;0.163511263
141.3141674;0.176430752
152.0401049;0.189359952
163.4809531;0.202255093
174.2068906;0.215091865
183.5030066;0.227987016
194.2289441;0.240964864
205.6697924;0.253898933
216.3968682;0.26690112
226.4067566;0.280063842
237.8498816;0.292988172
246.4288102;0.30565467
258.5851383;0.318501182
268.5973035;0.331376883
277.891712;0.344121228
288.6193571;0.357030978
300.0602053;0.36987748
310.0718013;0.382436952
320.7977388;0.39510831
331.5231071;0.407906154
342.9645245;0.420509414
352.9755513;0.433020247
362.9865781;0.445623517
374.4274263;0.458187868
385.1533638;0.470698701
396.594212;0.483229003
406.6052388;0.495725256
415.9013549;0.508143662
426.6272924;0.520566937
435.9234084;0.533004812
446.6493459;0.545209165
457.3752834;0.557510814
466.6713995;0.569987598
478.1122477;0.582323297
488.1232745;0.594503321
498.1343013;0.60682442
506.7155066;0.619218487
516.7265334;0.631344993
526.7375602;0.6434034
538.1784084;0.655554235
549.6192566;0.667671011
559.6302834;0.679573734
569.6413102;0.691447267
581.0821584;0.703549454
590.3782745;0.715510555
599.6743906;0.727359769
609.6854174;0.739379258
620.4113549;0.75130144
629.7074709;0.763048478
639.003587;0.77472739
649.7295245;0.786591174
661.1703727;0.798464699
671.1813995;0.810060912
681.907337;0.821769022
691.9183638;0.833462533
701.9293906;0.844834944
712.6553281;0.856314392
721.9514441;0.867861957
732.6779508;0.879146811
741.9734977;0.890266261
752.6994352;0.901230036
762.710462;0.911935969
772.7214888;0.922218646
782.0176049;0.931971032
791.3137209;0.941368288
802.0396584;0.950517453
809.9059531;0.959111996
820.6318906;0.967288144
828.4970468;0.975337806
838.509212;0.982876645
848.5191004;0.989904664
859.2461763;0.996971603
868.541154;1.003824484
878.5533191;1.010054648
889.9941674;1.016250758
900.0040557;1.022442002
910.0162209;1.028059181
919.312337;1.033457437
930.0382745;1.039108673
941.4791227;1.044390172
950.0603281;1.04906355
960.0702165;1.053941257
969.3669017;1.059033022
980.8077499;1.063502071
990.1044352;1.067615978
999.3988437;1.072172597
1010.126489;1.076656241
1018.705417;1.080371221
1028.716444;1.084105661
1038.727471;1.088331461
1048.023587;1.092051306
1056.604792;1.095216544
1067.33073;1.098659086
1077.341757;1.102228115
1085.922962;1.105339838
1095.933989;1.108339668
1105.230105;1.111500041
1114.526221;1.114412301
1123.107426;1.117061853
1133.118453;1.119701675
1141.697382;1.122287984
1151.709547;1.124592123
1159.574703;1.126653014
1170.300641;1.128762553
1178.881846;1.130881824
1187.463051;1.132699467
1196.044257;1.134366296
1206.055283;1.136179074
1214.63535;1.137782659
1224.647516;1.139016508
1232.511533;1.14042063
1241.092739;1.141946376
1250.388855;1.143097521
1258.255149;1.144117312
1267.551266;1.145404676
1273.986031;1.146477981
1281.851757;1.147225333
1289.718051;1.148215933
1296.869435;1.149255182
1304.73573;1.14989064
1314.030138;1.150477448
1321.895864;1.151326963
1329.047248;1.15199161
1337.628453;1.152359494
1346.924;1.152897652
1356.220685;1.153625545
1364.084703;1.154042079
1372.665908;1.15419104
1381.247114;1.154602709
1389.113408;1.155126272
1396.977995;1.155319018
1404.843721;1.155511764
1411.280194;1.156001273
1419.146489;1.156354563
1424.865774;1.15644028
1431.302248;1.156691406
1439.168542;1.157083616
1447.034268;1.157227712
1452.754123;1.157298834
1459.905507;1.157593744
1466.339703;1.157859464
1473.491087;1.157925721
1479.92756;1.158074682
1487.078375;1.158364726
1494.942962;1.158513687
1501.379435;1.158565349
1507.815908;1.158762959
1513.535194;1.158970299
1519.256757;1.159031691
1525.690953;1.159136868
1533.557248;1.159353939
1539.27881;1.159478575
1544.998096;1.159525372
1550.719658;1.159684063
1556.438944;1.159871943
1562.160507;1.1599382
1567.879792;1.160028782
1574.316266;1.160168013
1579.322917;1.160326704
1585.042203;1.160538909
1590.048286;1.16064895
1595.768141;1.160686017
1599.342694;1.160815518
1605.064257;1.160969344
1610.785819;1.161021006
1616.505105;1.161077532
1620.795708;1.161221628
1626.516132;1.161331669
1630.807873;1.161363871
1636.527158;1.161405803
1640.102281;1.161579088
1644.393453;1.161693994
1648.683487;1.161614302
1653.689569;1.161685424
1656.549212;1.161902494
1662.270774;1.161851992
1665.845328;1.161796625
1670.134792;1.162072075
1675.856355;1.162172386
1679.430908;1.161985665
1682.292828;1.162051922
1686.582292;1.162283587
1690.874033;1.162164976
1693.733676;1.162129068
1698.023141;1.162501818
1700.883922;1.16260213
1705.174524;1.16236676
1708.749078;1.162442747
1713.75573;1.162625762
1716.615373;1.162531476
1720.190495;1.162495569
1723.766757;1.16259588
1726.626399;1.162535648
1730.200953;1.162524065
1733.777783;1.16276546
1735.922516;1.162836582
1738.782158;1.162688782
1741.643509;1.162696659
1745.218632;1.16291373
1745.933542;1.162926472
1750.937917;1.162637587
1750.937917;1.162645464
1754.514748;1.162969564
1756.65948;1.162923926
1759.519123;1.162678825
1760.234603;1.16282292
1763.810864;1.1631081
1765.955596;1.163018678
1768.100328;1.162802767
1769.530149;1.162971189
1770.959971;1.163256368
1772.390931;1.163103701
1774.536801;1.16293644
1775.966623;1.163275134
1777.396444;1.163414366
1778.826266;1.163047641
1779.541176;1.163113898
1781.685908;1.163593677
1782.400819;1.163406956
1783.116299;1.163113206
1783.831779;1.163442171
1785.977649;1.163450048
1785.262739;1.163078458
1785.977649;1.163251745
1787.407471;1.163488276
1788.122382;1.16317993
1788.122382;1.163061318
1789.552203;1.163346497
1788.837292;1.163398159
1788.837292;1.163196843
1790.267114;1.163151206
1789.552203;1.163324491
1789.552203;1.163288584
1790.267114;1.162999698
1790.982024;1.163080551
1790.267114;1.163224647
1789.552203;1.163018467
1788.122382;1.163006884
1789.552203;1.16321909
1788.122382;1.163217237
1788.122382;1.163011057
1787.407471;1.163057854
1785.977649;1.163279789
1785.262739;1.163166042
1784.547259;1.16310581
1784.547259;1.163279096
1783.116299;1.163238324
1782.400819;1.163037008
1780.970998;1.163054615
1780.256087;1.163188981
1779.541176;1.163007125
1777.396444;1.162869054
1777.396444;1.162949906
1774.536801;1.162870214
1773.821891;1.162644573
1771.675451;1.162632991
1770.959971;1.162752762
1768.815239;1.162624421
1767.385417;1.162481484
1764.525774;1.16259639
1762.381042;1.162686972
1760.950083;1.162446736
1758.804212;1.162337854
1755.944569;1.162501409
1753.799837;1.162411987
1750.937917;1.162123102
1748.793185;1.162169899
1745.218632;1.16227994
1743.78881;1.162078624
1740.928029;1.161974608
1738.067248;1.162118704
1735.207605;1.162004956
1731.631344;1.161711206
1728.771132;1.161743408
1726.626399;1.161858314
1722.336935;1.161681323
1720.190495;1.161538387
1715.185551;1.161594913
1712.32477;1.161490897
1708.749078;1.161382015
1705.174524;1.161496921
1700.883922;1.161529123
1697.30823;1.161342402
1693.733676;1.161306495
1690.874033;1.161363022
1687.297203;1.161244411
1683.007739;1.16108688
1679.430908;1.161128811
1674.426533;1.161151284
1669.419882;1.161008347
1666.560239;1.160826491
1662.985685;1.160732204
1657.264123;1.160676837
1653.689569;1.16054363
1649.398966;1.160473668
1645.108364;1.160369652
1642.248721;1.160255905
1637.95698;1.160181078
1633.667516;1.160057601
1627.945953;1.15997791
1622.226667;1.159898218
1619.364748;1.159794202
1613.645462;1.159660995
1607.923899;1.159552114
1602.204614;1.159438367
1598.627783;1.159261376
1593.623408;1.159133035
1587.901846;1.159004693
1582.18256;1.158905542
1576.460998;1.158772335
1571.456623;1.158580749
1565.73506;1.158496192
1560.730685;1.158358121
1556.438944;1.158166535
1550.719658;1.158081978
1544.283185;1.157997421
1539.27881;1.157835026
1533.557248;1.157589925
1525.690953;1.15735942
1521.401489;1.157158104
1514.250105;1.156893544
1508.530819;1.156692228
1502.094346;1.156481182
1496.372783;1.156202027
1489.938587;1.156068821
1482.787203;1.155886965
1476.35073;1.155583485
1469.200484;1.155416224
1462.050239;1.155297613
1456.328676;1.155120622
1450.609391;1.154909577
1442.743096;1.154708261
1435.591712;1.154555595
1429.872426;1.154242385
1422.721042;1.15381728
1416.284569;1.153557585
1410.565283;1.153297889
1404.12881;1.15287765
1396.262516;1.15249633
1389.828319;1.152226905
1381.247114;1.151869909
1374.096299;1.151376695
1365.515094;1.150936996
1356.935596;1.150555676
1348.354391;1.150111112
1341.917917;1.149554653
1333.336712;1.14895441
1324.755507;1.148402816
1316.891489;1.147826898
1310.455016;1.14722179
1300.443989;1.146533978
1294.008085;1.145739137
1286.857839;1.144958892
1280.421935;1.144105671
1273.986031;1.143111367
1265.406533;1.142117063
1258.255149;1.141181137
1249.673944;1.140040883
1241.807649;1.138691438
1233.941924;1.137492806
1224.647516;1.136226063
1216.06631;1.134609039
1208.914926;1.132992016
1200.333721;1.131511212
1191.038174;1.12985527
1183.887929;1.127980406
1174.592382;1.126149327
1166.726087;1.124352301
1156.71506;1.122380137
1147.418944;1.12020851
1140.26756;1.11797364
1130.256533;1.11572904
1122.392516;1.113343356
1114.526221;1.110821453
1105.230105;1.108250901
1096.648899;1.105626836
1087.352783;1.102759521
1079.487058;1.09969274
1070.905853;1.096742719
1061.611444;1.093719726
1053.030239;1.090438888
1043.734123;1.087094803
1034.438007;1.083765313
1025.856801;1.080299605
1015.845774;1.07661984
1007.264569;1.072910884
998.6833638;1.069163008
990.1044352;1.065249725
979.3767901;1.061239144
970.0823816;1.057204236
961.5011763;1.052989325
952.2050602;1.048477651
942.9089441;1.043897868
933.6128281;1.039313221
924.316712;1.034592354
914.3056852;1.029647701
904.2946584;1.024552234
895.7134531;1.019378926
886.417337;1.013996422
876.4068794;1.00844851
867.1101941;1.00278384
857.1003057;0.996890518
847.0881406;0.990661512
838.509212;0.984194122
828.4970468;0.97762457
821.3468013;0.97074366
812.7655959;0.963473551
804.1843906;0.955931005
792.7435424;0.948077108
784.162337;0.939824283
775.5811316;0.931157933
767.0022031;0.922155904
758.4209977;0.912745228
748.4099709;0.902906436
738.3989441;0.892809784
728.3879174;0.882445551
719.0918013;0.871735918
709.7956852;0.860875471
701.2144799;0.850068533
692.6332745;0.839169167
681.1924263;0.828104396
670.4664888;0.81693259
661.1703727;0.805751063
651.1593459;0.794618204
641.1483191;0.783310201
631.8522031;0.771836774
623.2727053;0.760484964
613.97602;0.749167202
603.9661316;0.737698625
594.6694464;0.726161941
586.0888102;0.714678756
575.3628727;0.70318584
566.0667566;0.691644286
554.6259084;0.679985966
544.6148816;0.66822062
533.8878057;0.656523381
524.5928281;0.644796944
515.296712;0.632919702
506.0005959;0.62100841
495.9895691;0.609165226
486.6934531;0.597283133
475.2526049;0.585371851
466.6713995;0.573484879
456.6603727;0.56149574
446.6493459;0.549428774
437.3532299;0.53724992
426.6272924;0.525017549
416.6162656;0.512911664
407.3201495;0.500698752
398.0240334;0.488388544
385.8682745;0.476204821
375.8572477;0.463889742
365.1313102;0.451370331
355.1202834;0.438977415
344.3943459;0.426667216
332.9534977;0.414254851
323.6573816;0.401857075
312.9314441;0.38943011
302.2055066;0.376949637
292.1944799;0.364386466
280.7536316;0.351750318
271.4575156;0.339230916
261.4464888;0.326594758
251.435462;0.313783466
240.7095245;0.301157028
230.6984977;0.288632757
219.9725602;0.275938231
209.2466227;0.263253434
198.5206852;0.250627006
189.2245691;0.237878952
177.7837209;0.225091979
167.7726941;0.212353655
157.7616674;0.19959588
147.0340223;0.186711621
137.0241339;0.173871139
126.2987656;0.161152274
117.0020803;0.148282575
106.276712;0.135315598
96.26454682;0.122475136
86.25465842;0.109741691
75.52701333;0.096794164
66.23260485;0.083793129
55.50666735;0.070942927
45.49507137;0.057932182
34.76970307;0.044824139
24.04205798;0.031823113
12.60120976;0.018948573
2.58961378;0.005967007
-7.420843809;-0.007165375
-16.71752908;-0.020180981
-27.44289738;-0.033138228
-36.73730586;-0.046163602
-48.17952015;-0.059227876
-58.90551457;-0.072160794
-64.62616635;-0.085069392
