'H_675C_2.5lbf_strip_2';'B_675C_2.5lbf_strip_2'
1827.357764;1.165516189
1823.783211;1.165506693
1820.923568;1.165551642
1817.346738;1.16542488
1813.772184;1.165268802
1810.196492;1.165284434
1805.905889;1.165312631
1802.331336;1.16511886
1798.755644;1.164996286
1795.179952;1.165045423
1790.174439;1.164922849
1787.313657;1.164758394
1783.024193;1.164715393
1779.44907;1.164643076
1774.442988;1.164486998
1770.152385;1.164364424
1765.861782;1.164296295
1760.142497;1.164182097
1755.850756;1.164126532
1752.276202;1.164137977
1745.839729;1.164044719
1741.550264;1.163897017
1737.974003;1.163874957
1732.969059;1.163886401
1727.247497;1.163763827
1721.528211;1.163666382
1717.23647;1.163665262
1712.232095;1.163555253
1707.226581;1.163394987
1701.506157;1.163398055
1697.214416;1.163355055
1691.495131;1.16314872
1685.773568;1.163068027
1680.054282;1.163087847
1674.33272;1.162948521
1669.328345;1.162767314
1662.176961;1.162724314
1657.170309;1.162668749
1651.451023;1.162500107
1645.01455;1.162398474
1637.865443;1.162414106
1631.42897;1.162304096
1627.138367;1.162118701
1619.988122;1.162084077
1614.266559;1.162049452
1608.547273;1.161847305
1602.825711;1.161707979
1596.390945;1.161723611
1589.955041;1.16157172
1583.518568;1.16126906
1577.084372;1.161200931
1569.932988;1.161220751
1564.211425;1.160959971
1556.346838;1.160711754
1549.910934;1.16071901
1542.75955;1.16058806
1535.609305;1.1602854
1528.459059;1.160234023
1522.022586;1.160274783
1514.156291;1.160026567
1508.437006;1.159803478
1501.285622;1.159852615
1493.419327;1.159767733
1485.555309;1.159498577
1478.403925;1.159413696
1471.252541;1.159358131
1464.817776;1.159047094
1456.95205;1.158832383
1449.085756;1.158877332
1441.219461;1.158725441
1433.354874;1.158380899
1425.489148;1.158262513
1416.907943;1.158261393
1409.041648;1.158075999
1401.890264;1.157865475
1394.026247;1.157776406
1384.729561;1.15761614
1376.863836;1.157409805
1368.282631;1.157241162
1359.701425;1.156992946
1351.12022;1.156748918
1342.541291;1.156617968
1333.960086;1.156436762
1326.093791;1.156167605
1318.227497;1.155986398
1308.931381;1.155863824
1299.635264;1.155623985
1291.769539;1.1553297
1284.619863;1.155156869
1276.753568;1.155004979
1266.027631;1.154706506
1257.446425;1.154387093
1248.150309;1.154155629
1241.000064;1.153907412
1232.419997;1.153587999
1223.123881;1.15328115
1213.112854;1.153032934
1204.531648;1.152738649
1195.235532;1.152348038
1185.939416;1.151957427
1176.6433;1.151587757
1167.347184;1.151172018
1158.767686;1.150655765
1148.755521;1.150047374
1140.176023;1.149438984
1130.164427;1.148822217
1120.868881;1.148121687
1110.857854;1.147362525
1102.276648;1.146624303
1090.8358;1.145743688
1081.539684;1.144678797
1071.528657;1.143597154
1062.232541;1.142519699
1050.791693;1.141375233
1042.210488;1.140126065
1030.769639;1.138839204
1021.473523;1.137506277
1012.177407;1.136001639
1002.881291;1.134337855
992.8702645;1.132648943
982.8592377;1.13087208
972.8482109;1.128898377
962.1222734;1.126811595
952.1112466;1.124641053
941.3853091;1.122294613
930.6593716;1.119784836
921.3632555;1.117191296
912.0671395;1.114513997
902.0561127;1.111698492
892.7599966;1.108673581
882.0340591;1.105527216
872.737943;1.102309655
860.5821841;1.098924571
849.8562466;1.095388718
839.1303091;1.09180261
829.834193;1.088187183
821.9678984;1.084416798
809.8121395;1.080441198
799.8011127;1.076369272
789.7900859;1.072192643
779.0641484;1.067802422
769.7680323;1.063244678
758.3271841;1.058578043
747.6012466;1.05381927
738.3051305;1.048779897
726.8642823;1.043443172
716.1383448;1.037964051
704.6974966;1.032216894
693.9715591;1.026084434
684.675443;1.019696501
673.2345948;1.01311172
663.9384787;1.006187716
653.2125412;0.998811404
641.771693;0.99105815
632.4750078;0.982969858
621.7496395;0.974450201
611.0219944;0.965499171
601.7275859;0.956187959
593.1463805;0.946516581
583.1353537;0.936334263
573.124327;0.925661932
562.3983895;0.914600124
553.1022734;0.903086006
543.8061573;0.891182387
534.5100412;0.878952106
524.4990145;0.866323964
514.4879877;0.853264432
505.9067823;0.839798655
495.8962109;0.82595596
485.8852979;0.811736323
475.8741573;0.7972654
466.5783258;0.782576702
456.5674129;0.767615782
446.5562723;0.752416152
437.2604408;0.737090883
427.2495279;0.72166927
416.5233058;0.706168072
407.9425558;0.69064594
397.9316428;0.674922784
387.2054207;0.659040486
378.6246707;0.643086988
369.3286685;0.627062291
360.0327801;0.61099153
350.0218671;0.594841202
340.0108404;0.578628058
329.9998136;0.562272524
318.5587377;0.545803902
309.2627354;0.529289216
298.5366841;0.51277453
287.810684;0.496209581
279.9448732;0.479443592
269.933835;0.462627356
261.353085;0.445819504
249.9118953;0.428936252
238.4707511;0.412048808
227.7447567;0.395023157
215.5883716;0.377804867
203.4324419;0.36057401
192.7062198;0.34333896
183.4102176;0.326053663
174.114443;0.308718102
164.1034162;0.291315534
153.3771942;0.273825022
144.0813627;0.256359639
135.5006127;0.238856567
124.0593091;0.221156657
112.6182332;0.203423235
101.1771573;0.185744261
90.45110598;0.168052726
78.29500554;0.150277433
67.56878344;0.132497947
58.27295196;0.114764525
47.54695754;0.096980847
36.82062161;0.079180418
26.80959482;0.061367428
18.22838946;0.043474872
7.502451964;0.025515308
-1.793664108;0.007551551
-13.23451232;-0.010454085
-21.81571768;-0.028530912
-33.25656589;-0.046578419
-43.98250339;-0.064680391
-53.99353018;-0.082924779
-65.43437839;-0.101181726
-74.73049446;-0.119396794
-84.02661054;-0.137708189
-96.18236946;-0.156153591
-104.7635748;-0.174619937
-115.4895123;-0.193094659
-124.7856284;-0.211728515
-134.7966552;-0.230421003
-145.5225927;-0.248987852
-155.5336195;-0.267617524
-165.5446463;-0.286335148
-176.9854945;-0.304994149
-186.9965213;-0.323615454
-197.007548;-0.342328878
-208.4483963;-0.361075805
-218.459423;-0.379726422
-230.615182;-0.398393798
-239.911298;-0.417132366
-251.3521463;-0.43582067
-262.0780838;-0.454412647
-271.3741998;-0.473013
-280.6703159;-0.491584041
-291.3962534;-0.510012699
-302.8376708;-0.528386918
-313.5630391;-0.546706689
-325.0038873;-0.564904997
-336.4470123;-0.582990216
-347.8878605;-0.601004237
-356.4690659;-0.618997313
-368.6248248;-0.636810302
-380.7805838;-0.654497644
-390.7916105;-0.67220593
-401.517548;-0.689734138
-410.8136641;-0.707057131
-421.5396016;-0.72433406
-430.8357177;-0.741518854
-442.2765659;-0.758540321
-453.0025034;-0.775369126
-462.2986195;-0.792068074
-474.4543784;-0.808624639
-485.1803159;-0.824816863
-496.6211641;-0.840715913
-505.9178494;-0.856313413
-517.3586976;-0.871362284
-528.0840659;-0.885963047
-539.5271909;-0.900157557
-550.2531284;-0.913790844
-563.123798;-0.926888056
-573.8497355;-0.93952459
