H_675C_2.5lbf_strip';'B_675C_2.5lbf_strip'
-1657.014744;-1.146491199
-1659.874387;-1.146804457
-1664.166128;-1.146979404
-1668.455592;-1.146912304
-1671.317512;-1.147052673
-1677.036797;-1.147336293
-1679.18153;-1.14732847
-1682.75836;-1.147355225
-1686.332913;-1.147727759
-1690.624085;-1.147897766
-1694.199208;-1.147796089
-1697.058851;-1.147951277
-1700.635681;-1.148200319
-1702.780413;-1.148251773
-1706.354967;-1.148322986
-1710.646139;-1.148478173
-1714.221262;-1.148509868
-1717.080905;-1.14858108
-1719.225637;-1.148830122
-1720.656027;-1.148916153
-1725.66211;-1.148834235
-1728.521753;-1.148895568
-1731.383672;-1.14913473
-1733.528405;-1.149205942
-1736.388047;-1.149005471
-1737.817869;-1.149037166
-1739.962601;-1.149315846
-1742.824521;-1.149303084
-1745.684163;-1.149097673
-1747.113985;-1.149203464
-1749.259286;-1.149496963
-1751.405726;-1.149474321
-1752.835547;-1.14926397
-1754.98028;-1.149359882
-1757.125012;-1.149589165
-1758.554833;-1.149398573
-1759.984655;-1.149227739
-1760.700134;-1.149521239
-1762.846574;-1.149636909
-1763.561485;-1.149347523
-1764.276396;-1.149403917
-1766.421128;-1.149746813
-1767.850949;-1.149580919
-1768.56586;-1.149395267
-1769.28134;-1.149703585
-1769.99682;-1.149730341
-1770.7123;-1.149431076
-1771.42778;-1.149576384
-1771.42778;-1.149761209
-1771.42778;-1.149496522
-1772.857601;-1.149345448
-1771.42778;-1.149510514
-1772.857601;-1.149537269
-1773.572512;-1.149341737
-1773.572512;-1.149299336
-1774.287422;-1.14950392
-1773.572512;-1.149476338
-1774.287422;-1.14921659
-1774.287422;-1.1493372
-1772.857601;-1.149507206
-1773.572512;-1.149351193
-1772.857601;-1.149269274
-1772.857601;-1.149345426
-1772.14269;-1.149357361
-1771.42778;-1.149235926
-1770.7123;-1.149297259
-1768.56586;-1.149422807
-1768.56586;-1.149247035
-1768.56586;-1.149170056
-1766.421128;-1.149285726
-1765.706217;-1.149228506
-1764.991306;-1.149028035
-1763.561485;-1.149005393
-1762.846574;-1.149042027
-1760.700134;-1.148841556
-1759.984655;-1.148744819
-1757.839922;-1.14883579
-1756.410101;-1.148827967
-1754.265369;-1.148662074
-1752.120637;-1.148594975
-1751.405726;-1.148597032
-1748.543806;-1.14840644
-1747.828896;-1.148205969
-1745.684163;-1.148227784
-1742.109041;-1.148224901
-1739.962601;-1.147970093
-1739.24769;-1.147858537
-1735.673137;-1.147944568
-1733.528405;-1.147823131
-1729.952713;-1.147573263
-1728.521753;-1.147649415
-1726.377021;-1.147745326
-1722.802467;-1.147544855
-1719.940547;-1.147438238
-1717.080905;-1.147578606
-1714.936172;-1.147526325
-1711.361619;-1.147315975
-1707.784788;-1.147332851
-1704.925146;-1.147399123
-1701.350592;-1.147243109
-1698.489811;-1.147131553
-1694.199208;-1.147183007
-1691.339565;-1.147022054
-1688.477646;-1.146806763
-1685.618003;-1.146754483
-1680.61192;-1.146672565
-1677.036797;-1.146402938
-1674.177155;-1.146237045
-1669.886552;-1.146174885
-1666.31086;-1.145989233
-1662.736306;-1.145803581
-1659.159476;-1.145692024
-1654.870012;-1.145565649
-1652.010369;-1.145394816
-1648.433538;-1.145204224
-1644.144074;-1.145033392
-1639.85461;-1.14485268
-1634.847958;-1.14462257
-1630.557925;-1.144451737
-1625.551842;-1.144295723
-1622.692199;-1.14413477
-1616.970637;-1.143993575
-1611.966262;-1.143783224
-1606.95961;-1.143577814
-1603.385056;-1.143367463
-1598.379543;-1.143132414
-1593.37403;-1.142927003
-1589.082858;-1.142736411
-1582.648092;-1.142491483
-1576.92653;-1.142137881
-1572.637065;-1.141828737
-1567.632121;-1.141593688
-1562.626038;-1.141358639
-1559.050916;-1.141049494
-1554.044833;-1.140690953
-1547.610068;-1.140401568
-1542.603985;-1.140072665
-1536.882422;-1.139630148
-1530.448226;-1.139256788
-1524.726663;-1.138922945
-1519.722288;-1.138485369
-1514.000726;-1.138013213
-1508.28144;-1.137555878
-1501.844967;-1.137113362
-1493.978672;-1.136631327
-1488.259387;-1.136139413
-1481.822913;-1.135637619
-1474.67153;-1.135121007
-1469.667155;-1.13467849
-1463.230681;-1.134147059
-1456.796485;-1.133467436
-1450.360012;-1.132871788
-1443.923538;-1.132325537
-1436.774431;-1.131636035
-1431.052869;-1.130921835
-1425.331306;-1.130296549
-1419.612021;-1.129686082
-1413.175547;-1.128912605
-1405.309253;-1.128020577
-1397.445235;-1.127207584
-1391.008762;-1.126369892
