H_675C_0.8lbf_strip';'B_675C_0.8lbf_strip'
-597.0215883;-1.130156411
-593.4470347;-1.129603984
-589.8702043;-1.128978332
-585.5807401;-1.128342916
-582.0061865;-1.127663564
-578.4293561;-1.126925631
-574.8548026;-1.12615841
-569.8504276;-1.125357015
-564.8437758;-1.124521445
-561.2692222;-1.12361265
-555.5476597;-1.122650156
-551.9731061;-1.121668137
-547.6819343;-1.120608009
-544.1068115;-1.1194893
-539.1007289;-1.118355944
-535.5256061;-1.117154243
-531.2361418;-1.115869555
-526.94497;-1.114570221
-524.0847579;-1.113226951
-518.3631954;-1.111771398
-513.3588204;-1.110242621
-509.7833561;-1.108665027
-505.4929811;-1.106999562
-501.2026061;-1.105260868
-496.1970358;-1.103473356
-492.6216284;-1.101617502
-486.9009767;-1.099664015
-483.3256262;-1.097603129
-479.0353081;-1.095464133
-474.0298517;-1.093232386
-469.7394767;-1.090883475
-465.4489878;-1.088441809
-460.4434175;-1.085892748
-456.1529287;-1.083216761
-451.8626675;-1.08042361
-446.8570972;-1.077523063
-441.8516976;-1.074485826
-438.2763472;-1.071321663
-432.5556954;-1.068069627
-428.2652066;-1.064685784
-423.2596932;-1.061140844
-419.6844566;-1.057468978
-415.3939677;-1.053670187
-410.3885682;-1.049734706
-404.6679733;-1.045643011
-401.0925659;-1.041404864
-395.3719142;-1.037054435
-391.7967345;-1.032523382
-386.7911642;-1.02779706
-383.2157568;-1.02290964
-378.9254387;-1.017826949
-375.3500883;-1.012544106
-369.6294365;-1.007090402
-366.0540291;-1.001446309
-361.0486865;-0.995563012
-358.1883606;-0.989445391
-352.4677088;-0.98311297
-348.1774476;-0.976531581
-344.6020403;-0.969715869
-341.0266329;-0.962665834
-337.4512255;-0.955371709
-331.7308014;-0.947833497
-328.1553941;-0.940036553
-323.8649052;-0.932024818
-318.1444811;-0.923783642
-315.2841552;-0.915278858
-310.9936664;-0.906534869
-306.7031776;-0.897537006
-300.9827307;-0.888251123
-298.1224276;-0.878691878
-293.8319956;-0.868893428
-288.8264652;-0.858821598
-284.5360224;-0.848451973
-280.9606543;-0.837857784
-275.2400709;-0.827048794
-271.6648286;-0.816029888
-268.8045254;-0.80485478
-264.5140878;-0.793547864
-260.9387146;-0.782109138
-257.3632959;-0.77057279
-253.7880593;-0.758958346
-249.4975704;-0.747246268
-245.92222;-0.735460942
-241.6319019;-0.723592605
-237.341413;-0.711641264
-232.3358427;-0.699636231
-228.0453539;-0.687567742
-223.0400113;-0.67541626
-218.0344409;-0.663201312
-214.4590905;-0.650952197
-208.023528;-0.638673812
-203.7330392;-0.626341734
-198.7274689;-0.613955953
-193.0069878;-0.601506706
-189.4316374;-0.58898423
-183.7112133;-0.576408042
-180.8508874;-0.563763501
-175.1302356;-0.55107503
-170.8397468;-0.538342639
-166.5492579;-0.525546792
-162.2588829;-0.512667952
