'H_675C_3.5lbf_strip';'B_675C_3.5lbf_strip'
2581.888308;1.150432872
2576.173576;1.15007527
2571.870451;1.149981313
2564.721344;1.149837612
2559.006612;1.149589448
2550.42313;1.149485542
2541.839647;1.149356764
2536.124915;1.149058855
2528.975808;1.14877587
2521.816455;1.148542629
2514.670763;1.148274567
2510.380161;1.147961735
2504.659737;1.147663826
2496.078531;1.14739079
2491.789067;1.147018264
2484.637683;1.146615892
2477.488007;1.146362753
2467.475272;1.146139461
2461.755987;1.145756987
2450.315138;1.145369538
2443.163755;1.145096501
2434.583118;1.144748847
2427.431165;1.144291756
2420.281489;1.143924206
2410.271031;1.143571579
2404.549469;1.14304982
2398.830183;1.142577806
2388.819156;1.142235127
2381.667772;1.141817832
2370.226924;1.14131597
2358.786076;1.140814109
2351.634692;1.140292349
2341.623665;1.139695973
2331.612638;1.139109546
2324.461255;1.138577837
2317.311578;1.137986435
2307.301121;1.137305494
2297.290094;1.136629527
2285.847538;1.135918741
2278.697862;1.135108465
2265.826623;1.134377779
2257.245987;1.133741608
2244.37304;1.133090513
2238.653755;1.132439419
2227.212906;1.131753503
2217.20188;1.130997945
2208.620674;1.130192643
2198.609647;1.129382367
2187.168799;1.128587015
2175.727951;1.127776738
2164.287103;1.126891845
2151.414156;1.125947258
2141.40313;1.125032517
2129.962281;1.124152596
2118.521433;1.123212983
2108.510976;1.122178859
2095.639737;1.121169606
2082.768498;1.120200147
2069.897259;1.119175971
2058.456411;1.118136872
2049.874067;1.117072901
2038.433219;1.115939287
2026.992371;1.114835519
2015.551522;1.113781497
1999.819502;1.112608088
1988.378654;1.111335188
1975.507415;1.110156803
1964.066567;1.109008264
1952.625719;1.107620951
1942.614692;1.106099327
1934.033487;1.104791605
1921.161679;1.103548553
1906.860049;1.102066728
1889.699915;1.100594851
1878.25679;1.099316977
1866.815942;1.097894844
1853.945272;1.096278708
1842.503855;1.094826729
1826.771835;1.093469261
1811.041522;1.091887944
1798.170853;1.090217089
1785.297906;1.088660645
1775.28688;1.087044507
1763.846031;1.085313959
1752.405183;1.083663002
1740.964335;1.082026967
1723.801924;1.080186981
1708.071612;1.078272378
1693.768844;1.076347827
1682.327996;1.074274044
1668.027505;1.072110721
1655.156835;1.069917549
1637.994424;1.067729351
1623.692795;1.065556076
1609.391165;1.063258442
1597.950317;1.060921013
1585.079078;1.058593533
1572.207839;1.056106871
1557.90621;1.053525694
1542.17419;1.051009184
1526.443308;1.048537443
1512.14054;1.046006009
1499.269871;1.043459652
1484.96938;1.040928218
1472.09871;1.038317194
1454.936299;1.035566885
1439.204279;1.032771805
1423.472259;1.029951852
1409.17063;1.027052311
1394.870138;1.024147795
1380.567371;1.021258203
1363.407237;1.018254197
1346.244826;1.015071111
1330.512806;1.011843257
1317.641567;1.008540784
1304.770897;1.00493487
1289.040585;1.001194646
1271.878174;0.997434525
1254.715763;0.993485375
1240.414134;0.989426786
1226.112505;0.985278659
1210.382192;0.981040994
1197.509246;0.976609325
1180.349112;0.971869241
1163.186701;0.967094334
1147.454681;0.962299529
1134.583442;0.957196309
1121.712772;0.95181452
1105.98246;0.946378013
1090.249871;0.940752475
1075.94881;0.934669288
1060.21679;0.928242867
1045.915161;0.921508029
1031.613531;0.914310568
1015.881511;0.906749973
1001.580451;0.898890902
984.4197478;0.890554291
968.6877278;0.881645619
952.9557077;0.872264361
945.8060313;0.862440394
928.6436206;0.852064263
911.4812099;0.841076267
894.321076;0.829670427
877.1586653;0.817926344
862.8570358;0.805570405
849.9857969;0.792667262
837.1145581;0.779520371
821.382538;0.766189436
804.2218349;0.752659519
788.490384;0.739040063
772.7583639;0.725445495
