H_675C_10s;B_675C_10s
-0.774446;0.64098
-1.34706;0.627031
-1.7768;0.612926
-2.06254;0.598681
-2.34827;0.584286
-2.34827;0.569728
-2.77688;0.555022
-3.20548;0.54016
-3.49236;0.525148
-3.77923;0.509996
-3.9221;0.494703
-4.06497;0.479268
-4.20784;0.463677
-4.49358;0.447946
-4.63644;0.432073
-4.77931;0.416058
-4.92218;0.399903
-4.92218;0.383644
-5.06505;0.367303
-5.20792;0.350865
-5.35079;0.334323
-5.49365;0.317707
-5.49422;0.301024
-5.63709;0.284252
-5.78053;0.267383
-5.78053;0.25044
-5.63709;0.233431
-6.21027;0.216324
-5.9234;0.199143
-6.0674;0.181903
-6.06683;0.164589
-6.35314;0.147178
-6.35314;0.129692
-6.49601;0.112133
-6.63888;0.0944762
-6.49601;0.0767308
-6.63888;0.0589407
-6.63888;0.041121
-6.78175;0.0232195
-6.78175;0.00522885
-7.06748;-0.0128064
-7.06748;-0.0308862
-7.06748;-0.0490403
-7.21035;-0.0672538
-7.21035;-0.0855046
-7.35322;-0.103815
-7.49609;-0.122192
-7.49609;-0.140613
-7.63896;-0.159072
-7.78182;-0.177605
-7.78182;-0.196213
-7.92526;-0.214864
-8.21214;-0.233591
-8.21214;-0.252384
-8.21214;-0.271236
-8.35557;-0.290126
-8.35557;-0.30906
-8.49844;-0.328069
-8.64131;-0.347115
-8.64131;-0.36619
-8.78418;-0.38531
-9.06992;-0.404445
-8.92705;-0.42358
-9.35565;-0.442723
-9.35565;-0.461887
-9.78426;-0.481089
-9.78426;-0.500261
-10.07;-0.519418
-10.07;-0.538605
-10.3569;-0.55777
-10.7866;-0.576905
-10.9289;-0.596032
-11.3581;-0.61513
-11.6438;-0.634183
-11.9296;-0.653222
-11.9296;-0.672223
-12.3582;-0.691157
-13.0748;-0.710024
-13.2176;-0.72884
-13.7891;-0.747588
-14.2183;-0.766263
-14.7915;-0.784833
-15.363;-0.803277
-15.7916;-0.821609
-16.363;-0.839771
-17.0796;-0.857747
-17.6511;-0.875537
-18.5083;-0.893081
-19.6536;-0.910344
-20.6536;-0.927309
-21.5131;-0.943962
-22.6561;-0.960266
-23.6579;-0.976177
-24.8014;-0.991715
-26.3752;-1.00687
-27.8039;-1.02157
-29.092;-1.03587
-30.8087;-1.04978
-32.5237;-1.06325
-34.3826;-1.07622
-35.9565;-1.08872
-38.3875;-1.10067
-40.6757;-1.11204
-42.9639;-1.1228
-45.252;-1.13291
-48.1128;-1.14234
-50.5438;-1.15105
-53.6904;-1.15903
-56.55;-1.16629
-60.2691;-1.17281
-63.4151;-1.17863
-66.9908;-1.1838
-70.423;-1.18838
-74.5696;-1.1924
-78.1459;-1.19592
-82.0073;-1.19905
-86.0122;-1.20182
-90.1582;-1.20425
-94.1631;-1.2064
-98.3108;-1.20832
-102.173;-1.21002
-106.606;-1.21152
-110.467;-1.21286
-114.757;-1.21406
-118.761;-1.21514
-123.338;-1.21611
-127.343;-1.21698
-131.49;-1.21775
-135.638;-1.21842
-139.498;-1.21902
-143.931;-1.21956
-148.079;-1.22002
-151.941;-1.22043
-156.232;-1.22082
-159.951;-1.22119
-164.384;-1.22151
-167.815;-1.22181
-171.82;-1.22209
-175.539;-1.22235
-179.399;-1.22257
-182.832;-1.22277
-186.694;-1.22297
-190.554;-1.22316
-194.273;-1.22333
-197.85;-1.22349
-201.709;-1.22366
-205.143;-1.22381
-208.717;-1.22395
-211.864;-1.2241
-215.582;-1.22422
-218.872;-1.22433
-222.162;-1.22443
-225.593;-1.22453
-228.883;-1.22461
-232.029;-1.2247
-235.318;-1.22479
-238.465;-1.22486
-241.468;-1.22495
-244.758;-1.22503
-247.761;-1.22511
-250.478;-1.22517
-253.338;-1.22524
-256.485;-1.2253
-259.344;-1.22536
-262.347;-1.22544
-264.637;-1.22551
-267.354;-1.22556
-269.928;-1.22564
-272.645;-1.22569
-275.505;-1.22572
-278.366;-1.22577
-280.94;-1.22583
-283.371;-1.22587
-286.088;-1.2259
-288.519;-1.22594
-290.951;-1.22599
-293.525;-1.22604
-295.67;-1.2261
-298.388;-1.22616
-300.246;-1.22622
-302.535;-1.22627
-304.68;-1.22631
-306.967;-1.22636
-308.97;-1.22641
-310.972;-1.22646
-312.975;-1.2265
-315.263;-1.22656
-317.265;-1.22662
-318.982;-1.22666
-320.984;-1.22669
-323.13;-1.22674
-324.701;-1.22676
-326.418;-1.22677
-328.278;-1.22682
-330.137;-1.22686
-331.709;-1.22688
-333.569;-1.22691
-334.856;-1.22698
-336.573;-1.22703
-338.146;-1.22705
-339.576;-1.22708
-341.149;-1.22715
-342.579;-1.22718
-344.152;-1.22722
-345.44;-1.22727
-347.012;-1.2273
-348.3;-1.22732
-349.587;-1.22736
-351.016;-1.22741
-352.59;-1.22743
-353.878;-1.22744
-354.736;-1.22748
-356.023;-1.22752
-357.309;-1.22756
-358.453;-1.22761
-359.598;-1.22765
-360.599;-1.22766
-361.743;-1.22767
-362.601;-1.22771
-363.745;-1.22775
-364.746;-1.22775
-365.319;-1.22777
-366.319;-1.2278
-367.178;-1.22783
-368.036;-1.22785
-368.75;-1.22786
-369.752;-1.22786
-370.181;-1.22788
-370.896;-1.22791
-371.467;-1.22793
-372.04;-1.22796
-372.755;-1.228
-373.184;-1.22803
-373.612;-1.22804
-374.328;-1.22807
-374.9;-1.22809
-375.043;-1.22808
-375.615;-1.2281
-376.043;-1.22813
-376.33;-1.22815
-376.617;-1.22817
-377.046;-1.22822
-377.189;-1.22826
-377.617;-1.22829
-377.903;-1.22831
-378.189;-1.22833
-378.475;-1.22836
-378.474;-1.22835
-378.474;-1.22834
-378.618;-1.22836
-378.474;-1.22837
-378.761;-1.22835
-378.905;-1.22836
-378.761;-1.22838
-378.905;-1.22837
-378.761;-1.22836
-378.618;-1.22838
-378.618;-1.22839
-378.332;-1.22839
-378.332;-1.22841
-378.332;-1.22844
-378.046;-1.22845
-377.76;-1.22845
-377.617;-1.22846
-377.189;-1.22849
-377.046;-1.22849
-376.76;-1.22849
-376.473;-1.22852
-376.043;-1.22853
-375.472;-1.22853
-375.472;-1.22854
-374.758;-1.22855
-374.328;-1.22853
-373.898;-1.22852
-373.327;-1.22852
-372.898;-1.2285
-372.327;-1.22848
-371.897;-1.22847
-371.181;-1.22844
-370.753;-1.22841
-370.038;-1.2284
-369.322;-1.22837
-368.607;-1.22834
-368.179;-1.2283
-367.32;-1.22828
-366.319;-1.22827
-365.605;-1.22824
-365.176;-1.22823
-364.031;-1.22825
-363.173;-1.22824
-362.457;-1.22821
-361.457;-1.2282
-360.742;-1.22817
-359.74;-1.22812
-358.74;-1.22808
-357.738;-1.22807
-356.738;-1.22807
-355.88;-1.22805
-354.736;-1.22804
-353.735;-1.22803
-352.304;-1.22801
-351.016;-1.22798
-350.159;-1.22794
-348.871;-1.2279
-347.728;-1.22785
-346.154;-1.22782
-345.01;-1.22779
-344.009;-1.22774
-343.009;-1.22768
-341.435;-1.22764
-340.434;-1.22762
-339.147;-1.22757
