'H_650C_1.5lbf_start';'B_650C_1.5lbf_start'
1823.362941;1.166473981
1823.362941;1.166408171
1823.362941;1.166408031
1823.362941;1.166539232
1824.078421;1.166618834
1825.50938;1.166487353
1825.50938;1.166496595
1824.7939;1.16671692
1824.078421;1.166683945
1824.7939;1.166599371
1823.362941;1.166674283
1823.362941;1.166603782
1823.362941;1.166411321
1823.362941;1.166326748
1821.218209;1.166368825
1821.218209;1.166256107
1820.503298;1.166134007
1820.503298;1.166298043
1819.073476;1.166368265
1817.643655;1.166311836
1816.928744;1.166410201
1815.498923;1.166574237
1814.784012;1.166494354
1814.068532;1.166245604
1811.207182;1.166212629
1809.06245;1.166259396
1808.347539;1.16615137
1806.917717;1.165991745
1805.487327;1.166015059
1803.340887;1.165991464
1801.196155;1.165780241
1800.481244;1.165686286
1798.336512;1.16577058
1795.476869;1.165728223
1794.761959;1.165507617
1791.900039;1.165479333
1789.040396;1.165558936
1786.180753;1.165446218
1784.034313;1.165310045
1783.318834;1.1654647
1780.459191;1.165600592
1776.884637;1.1655254
1774.739905;1.165544023
1771.877985;1.165703368
1768.303432;1.165707919
1765.44322;1.165689017
1761.866959;1.165848362
1757.577494;1.165932656
1754.717851;1.165843392
1752.571412;1.165862016
1748.996289;1.166002598
1744.705686;1.165974314
1741.844905;1.16594603
1738.270351;1.165955272
1734.695798;1.16581441
1729.689146;1.165607877
1728.259325;1.165490468
1723.252673;1.165368369
1718.963209;1.16525096
1714.673744;1.16518046
1710.382003;1.165166248
1706.092539;1.165231778
1703.232896;1.165297309
1698.226244;1.165283097
1694.651691;1.165245432
1691.07486;1.165254674
1686.070485;1.165249843
1681.779883;1.165310683
1676.774369;1.165254254
1671.767717;1.165113391
1667.478253;1.165113251
1661.757829;1.16510373
1657.467226;1.164962868
1653.176624;1.164779788
1646.026378;1.164709287
1641.020296;1.164620023
1636.730262;1.164507305
1631.725887;1.164460258
1626.004325;1.164417901
1620.282762;1.1643474
1614.563476;1.164286281
1610.272874;1.164309595
1605.982271;1.164267239
1600.260709;1.164131067
1593.826512;1.164121546
1588.81986;1.164130787
1583.100575;1.16401807
1576.664101;1.163900661
1570.944246;1.16383485
1565.223253;1.163806566
1558.071869;1.163717302
1551.637673;1.163581131
1545.2012;1.163463722
1540.194548;1.16326657
1532.33053;1.1630788
1525.894057;1.162966082
1519.459291;1.162834602
1513.738298;1.162787554
1505.872003;1.162721744
1500.867628;1.162557428
1493.716244;1.162435329
1486.56486;1.162369519
1480.130664;1.162327163
1473.694191;1.16224259
1465.827896;1.162148635
1459.39313;1.162162567
1454.387048;1.16212021
1445.805842;1.161927749
1437.940117;1.16180565
1431.505351;1.161763293
1422.924146;1.16161774
1416.487673;1.161425279
1407.908175;1.161354778
1401.472271;1.161288968
1392.891066;1.161063672
1385.739682;1.160810232
1377.158476;1.16067406
1369.294459;1.16054727
1362.143075;1.160326664
1354.27678;1.160124822
1345.695575;1.159951125
1337.116646;1.159749282
1330.680173;1.159622492
1322.813878;1.159519156
1314.948153;1.159368913
1306.366947;1.159232741
1298.50236;1.159077806
1290.636066;1.158829056
1282.769771;1.158570925
1274.904046;1.158444135
1267.03832;1.158293891
1257.743342;1.157998233
1248.447226;1.157824535
1242.010753;1.157763415
1234.144459;1.157556882
1224.85005;1.157270605
1216.268845;1.157110979
1206.258387;1.156998261
1198.392092;1.156768274
1188.381066;1.156575813
1180.514771;1.156491239
1171.218655;1.156392594
1162.63745;1.156284567
1154.773432;1.156218757
1145.477316;1.156185782
1136.1812;1.156087137
1126.885084;1.155946275
1116.874057;1.155880464
1108.292851;1.155903778
1098.996735;1.15585204
1088.985709;1.155654888
1079.689592;1.155565624
1068.248744;1.155537339
1059.667539;1.155396477
1050.371423;1.155260306
1041.076445;1.155180423
1031.06428;1.155039561
1021.054392;1.154828338
1011.042226;1.154696857
1002.463298;1.154570067
993.8820924;1.154326008
983.1561549;1.154081949
973.8600389;1.15402552
962.4191907;1.154011307
953.1230746;1.153846991
942.3971371;1.153701438
931.6711996;1.153560575
922.3750835;1.153372805
913.0789674;1.15321318
903.0679407;1.153067627
893.7718246;1.152917383
883.7607978;1.152687396
872.3199496;1.152372975
862.3089228;1.152114844
851.5829853;1.151898929
840.1421371;1.151565746
830.846021;1.15115751
821.5499049;1.150894687
811.5388782;1.150669391
800.8129407;1.150303372
790.8019139;1.149965498
779.3610657;1.149693294
770.7798603;1.149256914
760.0539228;1.148689192
747.8981639;1.148224668
737.8859987;1.147717926
726.4451505;1.147009483
716.4329853;1.146268204
704.9921371;1.14562543
693.5512889;1.144837244
684.2551728;1.143781683
673.5292353;1.142721431
661.3734764;1.141628345
650.6475389;1.140305411
639.9216014;1.138729178
630.6254853;1.136941862
619.1846371;1.134887173
608.4586996;1.132349335
599.1625835;1.129300205
589.1515567;1.125824217
579.8554407;1.121865082
569.1295032;1.117404034
559.1184764;1.112492673
550.537271;1.107126311
539.0964228;1.101154841
529.8003067;1.094592335
519.7892799;1.087429416
510.4931639;1.079309587
501.9119585;1.069923244
492.6168101;1.059153121
482.6058971;1.046947625
472.5947565;1.033302072
464.729088;1.018258681
456.148338;1.002066061
446.8522788;0.985169817
