H (A/m),M (A/m)
18.564615,629662.255191
19.175767,638353.548579
19.807039,647044.841968
20.459091,657234.007891
21.132610,669112.833189
21.828301,680991.658487
22.546894,685795.850910
23.289144,681405.319587
24.055829,689275.728221
24.847753,695690.779911
25.665747,702105.831600
26.510670,708520.883290
27.383408,714935.934980
28.284877,721412.382286
29.216023,728102.950833
30.177822,732710.956749
31.171284,736731.910336
32.197450,744231.127707
33.257399,751887.587544
34.352241,756643.641780
35.483126,761399.696016
36.651239,766155.750251
37.857808,770904.191392
39.104097,775633.263786
40.391414,784084.638694
41.721110,790298.626816
43.094579,791739.126180
44.513264,796445.185151
45.978652,801151.244122
47.492281,805857.303093
49.055740,810470.137458
50.670667,815059.490896
52.338759,819648.844334
54.061764,823611.761276
55.841492,828156.736406
57.679808,832701.711535
59.578642,837462.517958
61.539987,841214.612032
63.565899,844285.998965
65.658505,848583.969976
67.820000,852881.940987
70.052652,856796.224524
72.358804,860502.795696
74.740874,863923.925632
77.201363,866944.293356
79.742852,871468.161455
82.368008,874667.088711
85.079584,877881.630695
87.880426,881149.613535
90.773472,884483.309344
93.761759,887952.391715
96.848420,890045.290499
100.036695,893038.049444
103.329929,895795.448155
106.731577,898822.235235
110.245209,902894.599288
113.874510,905375.089308
117.623288,906735.256370
121.495477,909723.638803
125.495140,912822.605454
129.626473,915198.478582
133.893810,916842.065595
138.301629,918554.056930
142.854554,922222.743143
147.557363,924208.681119
152.414990,926275.826827
157.432531,927993.303583
162.615251,929951.192892
167.968587,931977.931758
173.498157,932998.107390
179.209761,935561.983827
185.109393,938653.507088
191.203242,939205.150170
197.497703,941294.055192
203.999378,943110.080665
210.715091,944926.106137
217.651887,946742.131609
224.817043,948553.015584
232.218079,950353.256339
239.862758,952153.497095
247.759102,953953.737850
255.915397,955753.978605
264.340198,957554.219361
273.042346,959354.460116
282.030971,961154.700872
291.315504,962954.941627
300.905686,964671.911637
310.811579,966100.681837
321.043577,967529.452037
331.612415,968958.222237
342.529182,970386.992437
353.805331,971770.258136
365.452695,973138.941109
377.483493,974507.624081
389.910347,975897.242210
402.746297,977288.119839
416.004810,978678.997468
429.699796,980069.875097
443.845625,981460.752726
458.457139,982866.506572
473.549667,984523.285757
489.139045,986180.064942
505.241629,987836.844127
521.874315,989493.623311
539.054553,991170.312326
556.800369,993002.489497
575.130382,994834.666667
594.063823,996666.843838
613.620559,997101.931941
633.821107,998508.160573
654.686662,1000150.000047
676.239117,1001791.839521
698.501085,1003448.320480
721.495922,1005221.034845
745.247755,1006993.749209
769.781505,1008766.463574
795.122912,1010719.015976
821.298565,1012769.147319
848.335927,1014819.278663
876.263366,1016474.369738
905.110184,1017915.295170
934.906646,1019356.220601
965.684016,1021696.248515
997.474585,1024247.180403
1030.311707,1026893.634827
1064.229836,1028529.431429
1099.264559,1029858.367278
1135.452634,1031752.300513
1172.832030,1033651.223076
1211.441965,1036418.672938
1251.322949,1039354.774765
1292.516826,1041722.633723
