 H(A/m) ;M(A/m)
23.4494;185571.4161
23.6244;186072.6330
23.8022;186573.8499
23.9825;187075.0669
24.1651;187576.2838
24.3497;188077.5007
24.5359;188578.7176
24.7233;189079.9345
24.9117;189581.1514
25.1005;190082.3683
25.2894;190583.5852
25.4783;191084.8021
25.6674;191586.0190
25.8569;192087.2359
26.0472;192588.4528
26.2386;193089.6697
26.4312;193590.8867
26.6253;194092.1036
26.8213;194593.3205
27.0195;195094.5374
27.2202;195595.7543
27.4241;196096.9712
27.6316;196598.1881
27.8431;197099.4050
28.0583;197600.6219
28.2772;198101.8388
28.4993;198603.0557
28.7241;199104.2725
28.9511;199605.4894
29.1797;200106.7063
29.4093;200607.9232
29.6394;201109.1401
29.8696;201610.3570
30.0999;202111.5739
30.3311;202612.7908
30.5641;203114.0077
30.7988;203615.2246
31.0354;204116.4414
31.2740;204617.6583
31.5145;205118.8752
31.7570;205620.0921
32.0017;206121.3090
32.2492;206622.5259
32.5000;207123.7427
32.7538;207624.9596
33.0103;208126.1765
33.2695;208627.3934
33.5315;209128.6102
33.7958;209629.8271
34.0618;210131.0440
34.3286;210632.2608
34.5954;211133.4777
34.8628;211634.6946
35.1321;212135.9115
35.4049;212637.1283
35.6831;213138.3452
35.9696;213639.5620
36.2673;214140.7789
36.5783;214641.9957
36.9032;215143.2126
37.2417;215644.4294
37.5915;216145.6462
37.9488;216646.8631
38.3086;217148.0799
38.6677;217649.2967
39.0284;218150.5135
39.3935;218651.7303
39.7642;219152.9471
40.1393;219654.1639
40.5171;220155.3807
40.8954;220656.5975
41.2722;221157.8143
41.6457;221659.0311
42.0167;222160.2479
42.3883;222661.4647
42.7632;223162.6815
43.1445;223663.8983
43.5365;224165.1151
43.9472;224666.3319
44.3899;225167.5486
44.8689;225668.7653
45.3742;226169.9820
45.8813;226671.1987
46.3706;227172.4154
46.8432;227673.6321
47.3043;228174.8488
47.7579;228676.0656
48.2076;229177.2823
48.6574;229678.4990
49.1142;230179.7158
49.5842;230680.9325
50.0747;231182.1492
50.5955;231683.3658
51.1604;232184.5824
51.7758;232685.7990
52.3849;233187.0155
52.9538;233688.2321
53.4858;234189.4488
53.9837;234690.6655
54.4532;235191.8822
54.9100;235693.0989
55.3691;236194.3156
55.8466;236695.5323
56.3611;237196.7490
56.9248;237697.9656
57.5555;238199.1821
58.2712;238700.3985
59.0510;239201.6149
59.7697;239702.8313
60.3995;240204.0479
60.9854;240705.2645
61.5696;241206.4811
62.1985;241707.6976
62.9229;242208.9140
63.8581;242710.1301
65.1672;243211.3450
66.0598;243712.5612
66.8217;244213.7775
67.5532;244714.9939
68.3117;245216.2103
69.1287;245717.4265
70.0186;246218.6427
71.0158;246719.8586
72.1740;247221.0742
73.2771;247722.2899
74.2634;248223.5059
75.2659;248724.7218
76.3751;249225.9375
77.6453;249727.1528
79.1208;250228.3675
