H [A/m],M [A/m],dM/dH,H*dM/dH
26307.1912510844,1406302.02546679,3.12784409589022,82284.7928341592
30972.5395741101,1418853.41462223,2.31442625712999,71683.6588403181
36465.2462710277,1429775.07218159,1.70878878724673,62311.4039521228
42932.036051645,1439261.14498752,1.25959877629131,54077.1400743464
50545.6539588537,1447487.32702872,0.927009702599219,46856.31164408
59509.4798451865,1454609.24008732,0.681082847982991,40530.886014946
70062.9611860889,1460764.47186873,0.499522910528255,34998.0542919033
82488.0093547055,1466074.9481695,0.365728212236081,30168.1921922095
97116.5302195792,1470648.82059348,0.267325691849435,25961.7436309656
114339.290227427,1474581.92668493,0.195096139984504,22307.154171939
134616.354807497,1477958.99093083,0.14217955371896,19139.693249803
158489.377934855,1480854.67883825,0.103481869261012,16400.7770867139
186596.071139334,1483334.56283505,0.0752295220609729,14037.5332502674
219687.238465576,1485456.02630713,0.0546343113203291,12002.4609794316
258646.832432996,1487269.114602,0.0396413632852753,10253.1130470621
304515.566743331,1488817.33349545,0.0287399672987365,8751.76743015957
358518.716493599,1490138.39257239,0.0208220112128445,7465.08073484433
422098.8485116,1491264.89075203,0.0150763908409143,6363.72721366075
496954.356127734,1492224.94228046,0.0109105232279326,5422.03204575392
585084.827748694,1493042.7430384,0.0078922033304207,4617.60842613686
688844.461147513,1493739.07849707,0.00570666835939776,3931.00689097691
811004.950306827,1494331.77587834,0.00412498514817618,3345.38337511302
954829.524689072,1494836.1039658,0.00298083621229384,2846.1904237605
1124160.11871818,1495265.12457804,0.00215351359856321,2420.89410262204
1323520,1495630,0.00155548658965976,2058.71761114648
