H [A/m];M [A/m];M1 [A/m];M2 [A/m];dM/dH;dM1/dH;dM2/dH;dM/dlogH [A/m];dM1/dlogH [A/m];dM2/dlogH [A/m]
6.36876796161558;372706.933327013;372416.644503595;290.288823417488;37923.0178540074;37877.4378224182;45.5800315892101;241522.901116378;241232.612471503;290.288644874788
7.49821278321881;412594.811650304;412253.042705209;341.76894509485;32881.817640098;32836.237624769;45.5800153290279;246554.865364453;246213.096710853;341.768653599427
8.82795468154624;453027.627301816;452625.24871518;402.378586635931;28117.013050911;28071.4330580923;45.5799928187294;248215.716993886;247813.338882898;402.378110988946
10.3935145764134;493467.142762156;492993.405990527;473.736771628979;23733.5643541921;23687.9843925962;45.5799615958736;246675.147065542;246201.411070303;473.735995239076
12.2367127094492;533411.733077252;532853.983444314;557.749632937876;19793.2049208136;19747.6250024878;45.5799183258467;242203.762215253;241646.013849379;557.748365873544
14.4067857732554;572409.393934675;571752.732612008;656.661322666536;16321.0673231216;16275.4874647697;45.5798583519117;235134.120515092;234477.461260241;656.659254851317
16.9617021535693;610066.081113487;609292.967167418;773.11394606841;13314.8201595575;13269.2403843292;45.5797752283152;225842.013774755;225068.903203106;773.110571649321
19.9697104180227;646052.232343893;645142.014225847;910.218118046349;10753.3507605918;10707.7711005911;45.5796600006937;214741.300712442;213831.088101276;910.212611165784
23.5111624157228;680108.819065957;679037.18304507;1071.63602088686;8603.63237572453;8558.05287543989;45.5795002846448;202281.39815083;201209.77111681;1071.62703401976
27.6806596874642;712052.461761462;710790.782587507;1261.67917395532;6825.58737159495;6780.0080926967;45.5792788982514;188936.761200173;187675.096692191;1261.66450798251
32.5895805228587;741777.678923659;740292.2554106;1485.4235130593;5375.39039234255;5329.81142031205;45.5789720305061;175181.718033049;173696.318453912;1485.3995791373
38.3690551687567;769253.835571883;767504.990741369;1748.84483051392;4207.86115718787;4162.28261051064;45.5785466772309;161451.656882609;159702.851110639;1748.80577197042
45.1734686646391;794515.295946716;792456.317789499;2058.9781572164;3278.49679767848;3232.91884058111;45.5779570973693;148101.072357048;146042.157940312;2058.91441673628
53.1845848749697;817645.613881978;815221.508598357;2424.10528362186;2545.3882524973;2499.81111260887;45.5771398884317;135375.417554693;132951.416289939;2424.00126475466
62.6164018823071;838759.275367562;835905.300037553;2853.9753300088;1970.90054170682;1925.32453452426;45.5760071825684;123410.700389571;120556.894807637;2853.80558193462
73.7208684415595;857985.772686842;854625.708589497;3360.06409734458;1522.78490265998;1477.21046545448;45.5744372055013;112261.02547379;108901.238384265;3359.78708952488
86.7946141969774;875459.480881233;871503.60201721;3955.87886402309;1174.48205892313;1128.90979771645;45.5722612066745;101938.717185504;97983.2903559872;3955.4268295172
102.186873443766;891315.728294238;886658.411952001;4657.31634223721;904.688287944891;859.119042581427;45.5692453634632;92447.2675862815;87790.6888773973;4656.57870888411
120.308814098926;905690.878439708;900207.795781872;5483.08265783644;696.516407972941;650.951342239007;45.5650657339336;83797.0630436684;78315.1840208792;5481.87902278917
141.644521082791;918723.715345074;912268.529910867;6455.18543420675;536.603033629738;491.043760016709;45.5592736130282;76006.8797100572;69553.6582182599;6453.22149179723
166.763927506392;930556.483335486;922956.97406446;7599.50927102587;414.355158689985;368.80391103735;45.5512476526354;69099.4936456763;61503.1886843064;7596.30496136981
196.338039090845;941335.166505625;932388.679534621;8946.48697100341;321.371189889174;275.831062122739;45.5401277664351;63097.389243132;54156.1298575236;8941.25938560842
231.156858503232;951209.234150759;940677.354617598;10531.8795331607;251.001027682146;205.476303650515;45.524724031631;58020.6090400877;47497.2568487092;10523.3521913784
272.150488415338;960331.21229192;947933.534524804;12397.6777671166;198.003280201831;152.499888789441;45.5033914123907;53886.6894147675;41502.919217331;12383.7701974364
320.413977003721;968856.37430913;954263.237642896;14593.1366662336;158.270486531824;112.796628518404;45.47385801342;50712.0760319757;36141.6163361933;14570.4596957824
377.236569580064;976942.741071869;959766.791853665;17175.9492182042;128.604722109398;83.1717314588529;45.4329906505449;48514.4042003466;31375.418661572;17138.9855387747
444.136147740153;984751.487300365;964537.930089694;20213.55721067;106.532903404755;61.1564265883779;45.3764768163771;47315.1133257617;27161.7797145157;20153.3336112461
522.899775992151;992447.770262246;968663.190487276;23784.5797749699;90.1548151941574;44.8564182388814;45.2983969552759;47141.9326696386;23455.4110489213;23686.5216207173
615.631438971752;1000201.9238333;972221.612601768;27980.3112315309;78.0187511699984;32.8280948541287;45.1906563158696;48030.7960495652;20210.0072737485;27820.7887758167
724.808244431377;1008190.88570719;975284.694406153;32906.1913010334;69.020589462534;23.9783457085692;45.0422437539648;50026.692277958;17379.7026573967;32646.9896205614
853.346593333743;1016599.63466574;977916.561576986;38683.0730887536;62.3226419430384;17.4843516913059;44.8382902517325;53182.8141896504;14920.2119524249;38262.6022372255
1004.68008462788;1025622.29174307;980174.297092529;45447.9946505365;57.2889998250236;12.7300787976732;44.5589210273505;57557.1171924515;12789.6566437659;44767.4605486856
1182.85123575002;1035462.36631271;982108.381992804;53353.9843199082;53.4344840173109;9.25653780304329;44.1779462142676;63205.045451541;10949.1071790966;52255.9382724445
1392.61946894625;1046331.39319113;983763.204500944;62568.188690186;50.38475714201;6.72321947290721;43.6615376691028;70166.7937340918;9362.88633196913;60803.9074021226
1639.58824801701;1058444.91661922;985177.602538697;73267.3140805239;47.8456903840796;4.87847064609154;42.9672197379881;78447.2316719976;7998.68313962766;70448.54853237
1930.35476164182;1072014.48517411;986385.412628988;85629.0725451225;45.580704809443;3.53692741890499;42.0437773905381;87986.9305678985;6827.52468466475;81159.4058832338
2272.6861517213;1087234.17231614;987416.005463117;99818.1668530263;43.3954805146614;2.56245117727467;40.8330293373868;98624.3076129624;5823.64730505407;92800.6603079084
2675.72699426125;1104260.41015965;988294.794626311;115965.615533344;41.1299989024251;1.85530949100102;39.2746894114241;110052.648337154;4964.30168778052;105088.346649374
